ConditionID,InspectionID,Distance,Counter,PACP_Code,Continuous,Value_1st_Dimension,Value_2nd_Dimension,Value_Percent,Joint,Clock_At_From,Clock_To,Remarks,VCR_Time
653,66,15.60000038,281,TBA,,6,,0,FALSE,2,,,
654,66,77.19999695,751,RFJ,,,,0,TRUE,3,6,,
655,66,77.30000305,870,CM,,,,0,TRUE,1,2,,
656,66,82.30000305,969,RFJ,,,,0,TRUE,8,,,
657,66,85.5,1073,DAE,,,,5,TRUE,7,5,,
658,66,86.80000305,1141,MGO,,,,0,FALSE,,,concert in manhole,
659,66,86.90000153,1203,AMH,,,,0,FALSE,,,SANMH500420,
660,67,0,7,AMH,,,,0,FALSE,,,SANMH500481,
661,67,0,28,MWL,,,,5,FALSE,,,,
662,67,16.20000076,163,TFA,,6,,0,FALSE,9,,,
663,67,35.90000153,348,FL,,,,0,TRUE,10,,,
664,67,41.40000153,437,FL,,,,0,TRUE,9,,,
665,67,56.29999924,580,CC,,,,0,TRUE,7,9,,
666,67,86.09999847,793,CS,,,,0,TRUE,8,11,,
667,67,90.19999695,878,AMH,,,,0,FALSE,,,SANMH500482,
668,68,0,16,AMH,,,,0,FALSE,,,SANMH500482,
669,68,0,309,MWL,,,,5,FALSE,,,,
670,68,5,333,FM,,,,0,FALSE,12,4,,
671,68,15,463,FM,,,,0,TRUE,12,3,,
672,68,17.29999924,577,FM,,,,0,TRUE,12,5,,
673,68,24.79999924,689,FM,,,,0,TRUE,4,8,,
674,68,29.5,786,FM,,,,0,TRUE,5,9,,
675,68,32.09999847,836,CL,,,,0,TRUE,12,,,
676,68,34.90000153,916,FM,,,,0,TRUE,9,1,,
677,68,39.40000153,993,FM,,,,0,TRUE,9,1,,
678,68,45,1053,CL,,,,0,TRUE,8,,,
679,68,56.40000153,1174,TF,,6,,0,FALSE,9,,,
680,68,96.59999847,1476,FM,,,,0,TRUE,6,10,,
681,68,106.3000031,1562,FL,,,,0,TRUE,5,,,
682,68,135.1000061,1755,AMH,,,,0,FALSE,,,SANMH500483,
683,69,0,6,AMH,,,,0,FALSE,,,SANMH500481,
684,69,0,51,MWL,,,,5,FALSE,,,,
685,69,45.09999847,337,CC,,,,0,TRUE,1,3,,
686,69,60.5,453,TFA,,6,,0,FALSE,9,,,
687,69,62.09999847,519,CC,,,,0,TRUE,9,11,,
688,69,182.5,1161,TFA,,6,,0,FALSE,9,,,
689,69,198.3999939,1282,AMH,,,,0,FALSE,,,SANMH500442,
690,70,0,6,AMH,,,,0,FALSE,,,SANMH500442,
